"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","SF","rb","9","17","315.8","56","0","0","0","0","0","0","212.9893","979.3473","7.3112","103.0899","83.6091","661.2983","4.1437","1.4661","0.733","0.0857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Justin Jefferson","MIN","wr","13","17","318","52","0","0","0","0","0","0","0","0","0","164.1816","112.1742","1573.8682","8.0302","0.6692","0.3346","0.289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Austin Ekeler","LAC","rb","5","17","295.3","50","0","0","0","0","0","0","205.4496","902.1456","7.3701","97.6608","81.4525","582.8117","3.6914","3.8896","1.9448","0.4533","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Ja'Marr Chase","CIN","wr","7","17","307.4","49","0","0","0","0","0","0","0","0","0","147.5397","103.5367","1431.6982","10.2238","1.5908","0.7954","0.0882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Bijan Robinson","ATL","rb","11","17","278.9","45","0","0","0","0","0","0","291.5833","1351.7283","10.2315","51.8746","41.3243","316.7181","1.6698","2.2484","1.1242","0.2062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Cooper Kupp","LA","wr","10","17","293.6","45","0","0","0","0","0","0","16.4572","81.0231","0.8773","143.2487","105.7908","1287.0489","7.6271","1.3725","0.6862","0.3452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Tony Pollard","DAL","rb","7","17","272.4","43","0","0","0","0","0","0","269.2229","1282.3854","8.1717","58.8314","47.3722","363.5414","1.9712","1.2318","0.6159","0.0985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Travis Kelce","KC","te","10","17","266.9","43","0","0","0","0","0","0","0","0","0","126.4024","95.4937","1144.9578","9.5081","1.1467","0.5733","0.2272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Saquon Barkley","NYG","rb","13","17","267","42","0","0","0","0","0","0","257.3638","1114.8655","7.8834","75.364","61.066","374.6937","1.6951","1.8107","0.9054","0.1931","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Tyreek Hill","MIA","wr","10","17","275.4","40","0","0","0","0","0","0","12.1362","54.8936","0.8146","144.1955","98.9548","1235.2135","7.099","1.2251","0.6125","0.2958","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
