Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Austin Ekeler,LAC,195.0,837.0,8.8,82.00,70.00,536.0,4.20,285.3
Christian McCaffrey,SF,214.0,1015.0,7.1,75.00,64.00,545.0,3.70,284.8
Saquon Barkley,NYG,279.0,1199.0,8.9,68.00,51.00,379.0,0.80,267.0
Joe Mixon,CIN,248.0,968.0,7.9,70.00,60.00,435.0,2.30,261.5
Tony Pollard,DAL,206.0,1032.0,7.2,71.00,56.00,460.0,2.10,261.0
Bijan Robinson,ATL,281.0,1263.0,9.8,47.00,38.00,276.0,1.70,260.9
Jonathan Taylor,IND,289.0,1446.0,9.5,39.00,29.00,217.0,1.40,260.7
Nick Chubb,CLE,272.0,1359.0,9.5,40.00,32.00,265.0,1.20,258.6
Josh Jacobs,LV,261.0,1150.0,9.7,51.00,43.00,312.0,0.80,252.2
Derrick Henry,TEN,308.0,1325.0,10.2,37.00,29.00,250.0,0.60,251.3
Dameon Pierce,HOU,227.0,975.0,7.3,59.00,49.00,355.0,1.60,235.4
Aaron Jones,GB,182.0,946.0,5.1,61.00,49.00,396.0,3.20,233.0
Travis Etienne,JAC,219.0,1097.0,7.0,45.00,36.00,286.0,1.40,224.7
Rhamondre Stevenson,NE,171.0,771.0,5.7,75.00,59.00,427.0,1.60,222.6
Najee Harris,PIT,243.0,970.0,7.8,52.00,41.00,243.0,1.90,220.5
James Cook,BUF,150.0,711.0,4.8,74.00,57.00,460.0,2.90,220.3
Rachaad White,TB,205.0,820.0,6.6,63.00,52.00,335.0,1.40,215.5
Alexander Mattison,MIN,221.0,884.0,7.3,47.00,39.00,287.0,1.40,208.3
Javonte Williams,DEN,209.0,901.0,6.7,49.00,39.00,287.0,1.60,207.6
Miles Sanders,CAR,227.0,978.0,7.3,44.00,34.00,252.0,0.90,206.2
Jahmyr Gibbs,DET,140.0,645.0,4.6,62.00,51.00,411.0,3.00,202.2
Alvin Kamara,NO,139.0,557.0,4.5,67.00,53.00,481.0,2.90,201.2
James Conner,ARI,208.0,810.0,6.6,53.00,45.00,292.0,1.00,200.8
Breece Hall,NYJ,167.0,792.0,5.3,56.00,44.00,326.0,1.30,195.4
Cam Akers,LA,216.0,886.0,6.9,37.00,29.00,229.0,1.30,189.7
David Montgomery,DET,220.0,947.0,7.3,30.00,26.00,191.0,0.90,189.0
Antonio Gibson,WAS,139.0,582.0,4.4,60.00,46.00,348.0,2.30,179.2
Khalil Herbert,CHI,187.0,982.0,6.0,24.00,20.00,149.0,1.10,175.7
J.K. Dobbins,BAL,190.0,999.0,6.1,23.00,19.00,134.0,1.00,174.9
Kenneth Walker,SEA,197.0,888.0,6.9,26.00,21.00,145.0,1.00,171.7
Samaje Perine,DEN,159.0,684.0,4.8,37.00,30.00,225.0,1.70,159.9
D'Andre Swift,PHI,140.0,630.0,4.5,42.00,34.00,252.0,1.60,158.8
Brian Robinson,WAS,199.0,837.0,6.4,24.00,17.00,122.0,0.80,156.1
AJ Dillon,GB,162.0,695.0,5.3,34.00,26.00,193.0,0.80,151.4
Isiah Pacheco,KC,186.0,837.0,6.0,17.00,14.00,111.0,1.00,150.8
Dalvin Cook,NYJ,148.0,637.0,4.7,30.00,23.00,174.0,0.80,137.1
Jerick McKinnon,KC,56.0,223.0,1.1,58.00,46.00,394.0,2.50,129.3
De'Von Achane,MIA,94.0,447.0,3.0,38.00,28.00,237.0,1.90,125.8
Ezekiel Elliott,NE,133.0,533.0,4.3,30.00,24.00,143.0,1.00,123.4
Damien Harris,BUF,138.0,620.0,4.8,21.00,17.00,108.0,,118.6
Zach Charbonnet,SEA,119.0,501.0,3.8,28.00,22.00,167.0,1.00,117.6
Jeff Wilson,MIA,122.0,525.0,3.9,26.00,20.00,145.0,1.00,116.4
Jamaal Williams,NO,133.0,530.0,4.2,24.00,19.00,116.0,0.70,113.0
Raheem Mostert,MIA,122.0,580.0,3.9,15.00,12.00,88.0,1.30,110.0
Devin Singletary,HOU,113.0,488.0,3.6,24.00,19.00,128.0,0.50,105.2
Tyjae Spears,TEN,97.0,407.0,3.1,27.00,21.00,159.0,1.10,102.8
Kenneth Gainwell,PHI,102.0,447.0,3.6,23.00,18.00,135.0,0.70,102.0
Ty Chandler,MIN,96.0,404.0,3.1,26.00,20.00,152.0,1.10,100.8
Chris Evans,CIN,55.0,232.0,1.8,43.00,34.00,255.0,1.10,100.1
Elijah Mitchell,SF,124.0,589.0,4.0,10.00,8.00,62.0,0.10,97.7
Chuba Hubbard,CAR,99.0,425.0,3.2,23.00,19.00,140.0,0.40,97.1
Clyde Edwards-Helaire,KC,86.0,368.0,2.7,22.00,18.00,140.0,1.00,91.0
Kyren Williams,LA,72.0,288.0,1.8,30.00,24.00,180.0,0.90,87.0
Rashaad Penny,PHI,117.0,587.0,4.1,3.00,2.00,15.0,,86.8
Tyler Allgeier,ATL,110.0,493.0,3.5,8.00,6.00,47.0,0.40,83.4
D'Onta Foreman,CHI,98.0,467.0,3.1,10.00,8.00,53.0,0.30,80.4
Keaontay Ingram,ARI,103.0,402.0,3.3,14.00,11.00,59.0,0.50,79.9
Tank Bigsby,JAC,99.0,427.0,3.2,11.00,9.00,65.0,,77.4
Jerome Ford,CLE,96.0,411.0,3.1,13.00,10.00,71.0,,76.8
Deuce Vaughn,DAL,41.0,173.0,1.0,33.00,26.00,208.0,1.00,76.1
Cordarrelle Patterson,ATL,44.0,197.0,1.5,34.00,23.00,151.0,0.90,72.2
Roschon Johnson,CHI,79.0,374.0,2.5,12.00,9.00,70.0,0.50,71.4
