Player,Team,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Travis Kelce,KC,128.00,94.00,1142.0,9.50,265.2
Mark Andrews,BAL,116.00,76.00,917.0,7.00,209.7
George Kittle,SF,89.00,66.00,847.0,6.70,190.9
T.J. Hockenson,MIN,105.00,75.00,755.0,4.90,179.9
Darren Waller,NYG,102.00,64.00,779.0,4.40,168.3
Pat Freiermuth,PIT,95.00,63.00,690.0,3.90,155.4
Dallas Goedert,PHI,77.00,57.00,712.0,4.40,154.6
Kyle Pitts,ATL,90.00,55.00,711.0,4.40,152.5
David Njoku,CLE,76.00,53.00,584.0,5.40,143.8
Dalton Schultz,HOU,93.00,60.00,590.0,3.70,141.2
Evan Engram,JAC,79.00,57.00,568.0,3.10,132.8
Tyler Higbee,LA,82.00,59.00,528.0,3.20,131.0
Chigoziem Okonkwo,TEN,66.00,47.00,559.0,4.20,130.5
Hayden Hurst,CAR,75.00,58.00,492.0,3.60,128.8
Dalton Kincaid,BUF,74.00,46.00,557.0,4.00,125.7
Irv Smith,CIN,69.00,51.00,455.0,4.40,122.9
Hunter Henry,NE,65.00,44.00,509.0,4.50,121.9
Jake Ferguson,DAL,61.00,50.00,479.0,3.10,116.5
Luke Musgrave,GB,72.00,43.00,520.0,3.20,114.2
Gerald Everett,LAC,64.00,45.00,447.0,3.40,110.1
Mike Gesicki,NE,60.00,39.00,451.0,4.30,109.9
Juwan Johnson,NO,54.00,36.00,427.0,5.00,108.7
Cole Kmet,CHI,63.00,44.00,461.0,3.00,108.1
Greg Dulcich,DEN,58.00,38.00,473.0,3.30,105.1
Dawson Knox,BUF,52.00,34.00,389.0,4.80,101.7
Tyler Conklin,NYJ,59.00,43.00,420.0,2.70,101.2
Cade Otton,TB,64.00,40.00,359.0,2.50,90.9
Zach Ertz,ARI,53.00,36.00,323.0,3.40,88.7
Noah Fant,SEA,46.00,36.00,346.0,2.50,85.6
Durham Smythe,MIA,53.00,39.00,309.0,2.00,81.9
Isaiah Likely,BAL,47.00,30.00,312.0,3.10,79.8
Jelani Woods,IND,45.00,28.00,331.0,2.80,77.9
Michael Mayer,LV,48.00,30.00,305.0,2.70,76.7
Logan Thomas,WAS,47.00,30.00,254.0,3.10,74.0
Taysom Hill,NO,8.00,5.00,31.0,0.80,64.0
Austin Hooper,LV,35.00,22.00,211.0,2.10,55.7
Trey McBride,ARI,33.00,23.00,210.0,1.70,54.2
Will Dissly,SEA,28.00,22.00,194.0,1.80,52.2
Foster Moreau,NO,24.00,16.00,196.0,1.60,45.2
Cole Turner,WAS,30.00,18.00,185.0,1.00,42.5
Jonnu Smith,ATL,24.00,16.00,143.0,1.70,40.5
Jordan Akins,CLE,24.00,18.00,177.0,0.60,39.3
Mo Alie-Cox,IND,21.00,13.00,146.0,1.40,36.0
Adam Trautman,DEN,23.00,16.00,155.0,0.70,35.7
C.J. Uzomah,NYJ,20.00,14.00,129.0,1.30,34.7
Brock Wright,DET,17.00,12.00,120.0,1.20,31.2
Tucker Kraft,GB,18.00,12.00,117.0,1.20,30.9
Robert Tonyan,CHI,16.00,11.00,106.0,1.10,28.2
Tyler Kroft,MIA,19.00,13.00,103.0,0.80,28.1
Daniel Bellinger,NYG,17.00,12.00,106.0,0.80,27.4
Noah Gray,KC,16.00,12.00,109.0,0.70,27.1
Brenton Strange,JAC,15.00,10.00,92.0,0.70,23.4
Josh Oliver,MIN,18.00,11.00,88.0,0.60,23.4
Kylen Granson,IND,16.00,10.00,98.0,0.30,21.6
Teagan Quitoriano,HOU,12.00,7.00,67.0,1.20,20.9
Josiah Deguara,GB,11.00,8.00,61.0,0.40,16.5
Colby Parkinson,SEA,10.00,8.00,67.0,0.30,16.5
Luke Schoonmaker,DAL,8.00,6.00,54.0,0.40,13.8
Trevon Wesco,TEN,9.00,6.00,58.0,,11.8
Jimmy Graham,NO,7.00,5.00,49.0,0.20,11.1
Albert Okwuegbunam,DEN,2.00,1.00,13.0,1.20,9.5
Jeremy Ruckert,NYJ,6.00,4.00,36.0,0.30,9.4
John Bates,WAS,4.00,3.00,22.0,,5.2
Will Mallory,IND,,,3.0,,0.3
