Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Justin Jefferson,MIN,4.0,15.0,0.1,156.00,111.00,1660.0,7.80,325.9
Cooper Kupp,LA,4.0,19.0,0.1,154.00,115.00,1384.0,8.00,303.9
Ja'Marr Chase,CIN,4.0,9.0,0.1,149.00,100.00,1352.0,11.00,302.7
Stefon Diggs,BUF,,,,151.00,106.00,1312.0,9.40,293.6
Tyreek Hill,MIA,4.0,19.0,0.3,141.00,97.00,1357.0,8.20,285.6
Amon-Ra St. Brown,DET,9.0,34.0,0.3,152.00,117.00,1229.0,6.40,283.5
Davante Adams,LV,,,,155.00,96.00,1248.0,9.10,275.4
CeeDee Lamb,DAL,9.0,53.0,,136.00,94.00,1228.0,7.70,268.3
A.J. Brown,PHI,,,,129.00,81.00,1259.0,9.30,262.7
Garrett Wilson,NYJ,4.0,16.0,,139.00,90.00,1176.0,7.80,256.0
Calvin Ridley,JAC,2.0,8.0,,135.00,88.00,1161.0,7.70,251.1
Keenan Allen,LAC,1.0,4.0,,139.00,100.00,1076.0,6.30,245.8
Jaylen Waddle,MIA,2.0,9.0,0.1,120.00,83.00,1198.0,6.80,245.1
Tee Higgins,CIN,,,,123.00,83.00,1123.0,7.00,237.3
Jerry Jeudy,DEN,3.0,14.0,,114.00,79.00,1140.0,6.50,233.4
Chris Olave,NO,,,,128.00,82.00,1151.0,5.90,232.5
Deebo Samuel,SF,46.0,251.0,2.7,109.00,71.00,847.0,4.80,225.8
Amari Cooper,CLE,,,,110.00,72.00,1030.0,8.10,223.6
DeVonta Smith,PHI,,,,116.00,79.00,1022.0,6.90,222.6
Diontae Johnson,PIT,4.0,18.0,0.1,146.00,90.00,950.0,5.60,221.0
DK Metcalf,SEA,,,,120.00,75.00,980.0,7.60,218.6
Tyler Lockett,SEA,,,,104.00,77.00,964.0,7.00,215.4
Marquise Brown,ARI,,,,136.00,87.00,999.0,4.60,214.5
Chris Godwin,TB,2.0,6.0,0.1,125.00,88.00,965.0,4.60,213.3
Christian Watson,GB,9.0,43.0,0.5,114.00,68.00,989.0,6.20,211.4
Mike Williams,LAC,,,,111.00,72.00,1048.0,5.40,209.2
DeAndre Hopkins,TEN,,,,110.00,77.00,936.0,5.50,203.6
Drake London,ATL,,,,118.00,75.00,943.0,5.60,202.9
Brandon Aiyuk,SF,2.0,9.0,0.1,104.00,70.00,928.0,6.40,202.7
Terry McLaurin,WAS,4.0,17.0,0.1,108.00,67.00,974.0,5.20,197.9
Mike Evans,TB,,,,109.00,65.00,948.0,6.20,197.0
Gabe Davis,BUF,,,,104.00,58.00,924.0,7.70,196.6
Jordan Addison,MIN,,,,105.00,74.00,882.0,5.30,194.0
Jahan Dotson,WAS,5.0,18.0,0.1,109.00,65.00,947.0,5.30,193.9
Brandin Cooks,DAL,,,,103.00,69.00,895.0,5.50,191.5
DJ Moore,CHI,5.0,26.0,,106.00,66.00,885.0,5.70,191.3
Treylon Burks,TEN,5.0,19.0,0.2,103.00,65.00,877.0,5.90,191.2
Christian Kirk,JAC,2.0,8.0,,100.00,69.00,864.0,5.70,190.4
George Pickens,PIT,4.0,18.0,0.1,102.00,63.00,915.0,4.60,184.5
Quentin Johnston,LAC,,,,96.00,62.00,861.0,5.40,180.5
Allen Lazard,NYJ,2.0,8.0,,95.00,62.00,801.0,6.20,180.1
Jaxon Smith-Njigba,SEA,,,,89.00,64.00,801.0,5.10,174.7
Nico Collins,HOU,,,,108.00,64.00,860.0,4.10,174.6
Jakobi Meyers,LV,,,,106.00,67.00,769.0,3.90,167.3
Michael Pittman,IND,2.0,9.0,,108.00,67.00,770.0,3.60,166.5
Tyler Boyd,CIN,,,,86.00,63.00,727.0,4.80,164.5
Zay Flowers,BAL,,,,92.00,61.00,700.0,5.50,164.0
Elijah Moore,CLE,5.0,9.0,,93.00,60.00,740.0,4.80,163.7
Rashod Bateman,BAL,,,,91.00,57.00,733.0,5.30,162.1
Courtland Sutton,DEN,,,,98.00,59.00,782.0,4.10,161.8
Adam Thielen,CAR,,,,90.00,60.00,635.0,6.00,159.5
Skyy Moore,KC,2.0,10.0,,91.00,62.00,678.0,4.30,156.6
Van Jefferson,LA,,,,86.00,48.00,722.0,5.10,150.8
Robert Woods,HOU,,,,99.00,62.00,646.0,4.00,150.6
Odell Beckham,BAL,,,,88.00,51.00,675.0,5.30,150.3
Zay Jones,JAC,2.0,8.0,,89.00,61.00,645.0,3.60,147.9
Rondale Moore,ARI,4.0,12.0,,94.00,68.00,646.0,2.10,146.4
Romeo Doubs,GB,,,,99.00,62.00,622.0,3.60,145.8
K.J. Osborn,MIN,4.0,15.0,0.1,75.00,52.00,599.0,4.50,141.0
DeVante Parker,NE,,,,92.00,57.00,710.0,1.90,139.4
Michael Thomas,NO,,,,79.00,55.00,579.0,4.30,138.7
JuJu Smith-Schuster,NE,,,,82.00,55.00,551.0,4.70,138.3
Marquez Valdes-Scantling,KC,,,,77.00,42.00,680.0,4.70,138.2
Jonathan Mingo,CAR,4.0,18.0,,81.00,45.00,647.0,4.40,137.9
Donovan Peoples-Jones,CLE,,,,77.00,48.00,666.0,3.80,137.4
Isaiah Hodgins,NYG,,,,75.00,56.00,592.0,3.50,136.2
Hunter Renfrow,LV,,,,77.00,55.00,546.0,3.90,133.0
Michael Gallup,DAL,,,,79.00,46.00,570.0,5.00,133.0
Jameson Williams,DET,,,,74.00,43.00,638.0,4.10,131.4
Curtis Samuel,WAS,23.0,92.0,0.7,71.00,49.00,464.0,3.50,129.8
Marvin Mims,DEN,,,,68.00,41.00,616.0,4.00,126.6
DJ Chark,CAR,,,,71.00,41.00,596.0,3.40,121.0
Darius Slayton,NYG,,,,71.00,44.00,597.0,2.80,120.5
Darnell Mooney,CHI,3.0,10.0,,70.00,46.00,550.0,2.90,119.4
Kadarius Toney,KC,7.0,35.0,1.0,58.00,45.00,469.0,2.90,118.8
Jayden Reed,GB,,,,75.00,48.00,531.0,2.80,117.9
Tank Dell,HOU,8.0,32.0,,73.00,46.00,511.0,2.90,117.7
Michael Wilson,ARI,,,,79.00,47.00,519.0,2.80,115.7
Alec Pierce,IND,,,,75.00,40.00,574.0,3.00,115.4
Mecole Hardman,NYJ,4.0,24.0,0.1,60.00,43.00,496.0,3.00,113.6
Allen Robinson,PIT,,,,74.00,47.00,472.0,2.90,111.6
Rashid Shaheed,NO,4.0,21.0,0.2,57.00,38.00,534.0,2.60,110.3
Rashee Rice,KC,,,,58.00,39.00,433.0,3.30,102.1
Mack Hollins,ATL,,,,67.00,40.00,545.0,0.90,99.9
Kyle Philips,TEN,,,,60.00,39.00,390.0,2.30,91.8
Chase Claypool,CHI,3.0,10.0,,56.00,33.00,399.0,2.90,91.3
Puka Nacua,LA,,,,50.00,28.00,388.0,2.80,83.6
Joshua Palmer,LAC,,,,48.00,35.00,363.0,1.80,82.1
Josh Downs,IND,,,,54.00,34.00,337.0,1.90,79.1
Marvin Jones,DET,,,,44.00,28.00,318.0,2.50,74.8
Jauan Jennings,SF,,,,46.00,30.00,350.0,1.30,72.8
Kendrick Bourne,NE,4.0,16.0,0.1,39.00,28.00,335.0,1.50,72.7
Wan'Dale Robinson,NYG,,,,44.00,32.00,305.0,1.60,72.1
Tutu Atwell,LA,,,,49.00,27.00,353.0,1.60,71.9
Tyquan Thornton,NE,,,,45.00,24.00,310.0,2.70,71.2
Jalin Hyatt,NYG,,,,42.00,22.00,335.0,2.60,71.1
Braxton Berrios,MIA,,,,50.00,35.00,277.0,1.40,71.1
Richie James,KC,,,,37.00,30.00,326.0,1.40,71.0
Randall Cobb,NYJ,,,,39.00,27.00,312.0,2.00,70.2
Trey Palmer,TB,,,,45.00,27.00,327.0,1.70,69.9
Olamide Zaccheaus,PHI,,,,38.00,25.00,319.0,1.90,68.3
Josh Reynolds,DET,,,,37.00,24.00,307.0,1.80,65.5
Parris Campbell,NYG,,,,37.00,26.00,260.0,1.40,60.4
Cedric Tillman,CLE,,,,36.00,21.00,257.0,1.80,57.5
Greg Dortch,ARI,,,,35.00,26.00,205.0,1.30,54.3
Deonte Harty,BUF,,,,40.00,25.00,223.0,1.00,53.3
Laviska Shenault,CAR,13.0,63.0,0.4,26.00,19.00,193.0,0.80,51.8
Marquez Callaway,DEN,,,,28.00,18.00,220.0,1.20,47.2
Robbie Chosen,MIA,,,,26.00,16.00,221.0,1.20,45.3
A.T. Perry,NO,,,,28.00,17.00,218.0,1.00,44.8
KhaDarel Hodge,ATL,,,,26.00,16.00,214.0,0.90,42.8
Tyler Scott,CHI,3.0,10.0,0.1,23.00,15.00,175.0,1.00,40.1
Tre Tucker,LV,,,,23.00,15.00,149.0,1.50,38.9
Terrace Marshall,CAR,,,,25.00,15.00,160.0,1.00,37.0
Jalen Tolbert,DAL,,,,20.00,11.00,159.0,1.10,33.5
Quez Watkins,PHI,,,,20.00,13.00,156.0,0.80,33.4
Nick Westbrook-Ikhine,TEN,,,,19.00,11.00,149.0,1.10,32.5
Ben Skowronek,LA,,,,17.00,11.00,106.0,1.80,32.4
Khalil Shakir,BUF,,,,15.00,9.00,103.0,2.10,31.9
Trent Sherfield,BUF,,,,18.00,12.00,144.0,0.70,30.6
Jalen Nailor,MIN,,,,17.00,12.00,128.0,0.60,28.4
Trenton Irwin,CIN,,,,16.00,10.00,131.0,0.80,27.9
Kalif Raymond,DET,,,,18.00,12.00,112.0,0.60,26.8
Scott Miller,ATL,,,,16.00,8.00,115.0,0.90,24.9
Chris Moore,TEN,,,,14.00,9.00,98.0,0.90,24.2
John Metchie,HOU,,,,15.00,10.00,100.0,0.70,24.2
Isaiah McKenzie,IND,2.0,12.0,,14.00,9.00,80.0,0.80,23.0
Velus Jones,CHI,,,,10.00,6.00,84.0,1.40,22.8
Erik Ezukanma,MIA,,,,14.00,9.00,103.0,0.50,22.3
Danny Gray,SF,,,,11.00,7.00,101.0,0.70,21.3
Calvin Austin,PIT,2.0,9.0,0.1,9.00,6.00,60.0,1.00,19.5
Dyami Brown,WAS,,,,12.00,6.00,88.0,0.40,17.2
Dee Eskridge,SEA,,,,13.00,8.00,58.0,0.50,16.8
Dontayvion Wicks,GB,,,,9.00,6.00,67.0,0.60,16.3
Breshad Perriman,IND,,,,11.00,6.00,83.0,0.30,16.1
Demarcus Robinson,LA,,,,8.00,5.00,52.0,0.90,15.6
Justin Watson,KC,,,,8.00,5.00,68.0,0.40,14.2
Noah Brown,HOU,,,,9.00,6.00,62.0,0.20,13.4
Sterling Shepard,NYG,,,,9.00,6.00,40.0,0.40,12.4
Kayshon Boutte,NE,,,,5.00,3.00,32.0,0.60,9.8
Cedrick Wilson,MIA,,,,4.00,3.00,32.0,0.30,8.0
Charlie Jones,CIN,,,,5.00,4.00,35.0,,7.5
David Bell,CLE,,,,4.00,3.00,21.0,0.30,6.9
