"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","SF","rb","9","17","315.2","57","0","0","0","0","0","0","213.2301","980.4543","7.2676","102.9248","83.4751","660.2388","4.1075","1.4669","0.7334","0.0851","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Justin Jefferson","MIN","wr","13","17","318","55","0","0","0","0","0","0","0","0","0","164.1708","112.1668","1573.7644","8.0319","0.6691","0.3346","0.2886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Ja'Marr Chase","CIN","wr","7","17","306.1","52","0","0","0","0","0","0","0","0","0","147.0916","103.222","1427.3451","10.1277","1.5859","0.793","0.0879","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Austin Ekeler","LAC","rb","5","17","295.6","51","0","0","0","0","0","0","205.5339","902.5158","7.3769","97.8079","81.5752","583.689","3.6988","3.8939","1.947","0.4548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Cooper Kupp","LA","wr","10","17","292.7","48","0","0","0","0","0","0","16.4572","81.0231","0.8551","143.4613","105.9478","1288.9593","7.4447","1.3743","0.6871","0.3346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Bijan Robinson","ATL","rb","11","17","278.8","46","0","0","0","0","0","0","291.4412","1351.0694","10.2326","51.8512","41.3056","316.5751","1.6699","2.2473","1.1237","0.2035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Travis Kelce","KC","te","10","17","267","45","0","0","0","0","0","0","0","0","0","126.3915","95.4855","1144.8597","9.5318","1.1466","0.5733","0.227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Tony Pollard","DAL","rb","7","17","272.8","44","0","0","0","0","0","0","269.3742","1283.106","8.1565","59.0812","47.5734","365.0848","1.9747","1.2352","0.6176","0.0976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Tyreek Hill","MIA","wr","10","17","274.1","42","0","0","0","0","0","0","11.7447","53.1229","0.7879","143.6692","98.5936","1230.705","7.0695","1.2171","0.6086","0.2985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Saquon Barkley","NYG","rb","13","17","264.3","42","0","0","0","0","0","0","257.1592","1113.9789","7.9027","73.4463","59.5144","365.2605","1.6583","1.7946","0.8973","0.1894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
