Player,Team,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Travis Kelce,KC,128.00,94.00,1142.0,9.50,265.2
Mark Andrews,BAL,116.00,76.00,917.0,7.00,209.7
George Kittle,SF,89.00,66.00,847.0,5.60,184.3
T.J. Hockenson,MIN,105.00,75.00,755.0,4.90,179.9
Darren Waller,NYG,102.00,64.00,779.0,4.10,166.5
Kyle Pitts,ATL,96.00,58.00,758.0,4.40,160.2
Dallas Goedert,PHI,77.00,57.00,712.0,4.40,154.6
Pat Freiermuth,PIT,89.00,59.00,644.0,4.30,149.2
David Njoku,CLE,76.00,53.00,584.0,4.70,139.6
Dalton Schultz,HOU,91.00,59.00,575.0,3.70,138.7
Evan Engram,JAC,79.00,57.00,568.0,3.10,132.8
Tyler Higbee,LA,82.00,59.00,528.0,3.20,131.0
Chigoziem Okonkwo,TEN,66.00,47.00,559.0,4.20,130.5
Irv Smith,CIN,69.00,51.00,455.0,4.40,122.9
Hunter Henry,NE,65.00,44.00,509.0,4.50,121.9
Dalton Kincaid,BUF,65.00,40.00,485.0,4.00,112.5
Gerald Everett,LAC,64.00,45.00,447.0,3.40,110.1
Mike Gesicki,NE,60.00,39.00,451.0,4.30,109.9
Juwan Johnson,NO,54.00,36.00,427.0,5.00,108.7
Greg Dulcich,DEN,63.00,41.00,513.0,2.60,107.9
Cole Kmet,CHI,61.00,42.00,445.0,2.90,103.9
Hayden Hurst,CAR,61.00,47.00,400.0,2.70,103.2
Dawson Knox,BUF,52.00,34.00,389.0,4.80,101.7
Tyler Conklin,NYJ,59.00,43.00,420.0,2.70,101.2
Jake Ferguson,DAL,51.00,42.00,400.0,3.10,100.6
Logan Thomas,WAS,60.00,38.00,324.0,3.50,91.4
Zach Ertz,ARI,58.00,39.00,350.0,2.80,90.8
Luke Musgrave,GB,57.00,34.00,408.0,2.60,90.4
Cade Otton,TB,64.00,40.00,359.0,2.40,90.3
Noah Fant,SEA,46.00,36.00,346.0,2.50,85.6
Jelani Woods,IND,45.00,28.00,331.0,2.90,78.5
Michael Mayer,LV,48.00,30.00,305.0,2.50,75.5
Isaiah Likely,BAL,42.00,26.00,278.0,3.10,72.4
Taysom Hill,NO,8.00,5.00,31.0,0.80,64.0
Durham Smythe,MIA,42.00,30.00,243.0,1.30,62.1
Austin Hooper,LV,35.00,22.00,211.0,1.90,54.5
Will Dissly,SEA,28.00,22.00,194.0,1.80,52.2
Foster Moreau,NO,28.00,19.00,224.0,1.60,51.0
Jonnu Smith,ATL,29.00,19.00,168.0,1.70,46.0
Tucker Kraft,GB,29.00,19.00,186.0,1.20,44.8
Trey McBride,ARI,25.00,18.00,163.0,1.70,44.5
Jordan Akins,CLE,24.00,18.00,177.0,0.60,39.3
Brock Wright,DET,22.00,16.00,156.0,1.20,38.8
Mo Alie-Cox,IND,22.00,14.00,157.0,1.50,38.7
Eric Saubert,MIA,26.00,18.00,144.0,1.00,38.4
C.J. Uzomah,NYJ,20.00,14.00,129.0,1.30,34.7
Robert Tonyan,CHI,18.00,12.00,118.0,1.00,29.8
Daniel Bellinger,NYG,17.00,12.00,106.0,0.80,27.4
Noah Gray,KC,16.00,12.00,109.0,0.70,27.1
Albert Okwuegbunam,DEN,14.00,10.00,92.0,1.20,26.4
Teagan Quitoriano,HOU,14.00,9.00,77.0,1.20,23.9
Brenton Strange,JAC,15.00,10.00,92.0,0.70,23.4
Josh Oliver,MIN,18.00,11.00,88.0,0.60,23.4
Kylen Granson,IND,16.00,10.00,98.0,0.30,21.6
Colby Parkinson,SEA,10.00,8.00,67.0,0.30,16.5
Josiah Deguara,GB,11.00,8.00,61.0,0.40,16.5
Adam Trautman,DEN,8.00,6.00,53.0,0.70,15.5
John Bates,WAS,13.00,8.00,66.0,,14.6
Luke Schoonmaker,DAL,8.00,6.00,54.0,0.40,13.8
Jeremy Ruckert,NYJ,3.00,2.00,18.0,0.30,5.6
Cole Turner,WAS,3.00,2.00,18.0,,3.8
