Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Justin Jefferson,MIN,4.0,15.0,0.1,156.00,111.00,1660.0,7.80,325.9
Cooper Kupp,LA,4.0,19.0,0.1,154.00,115.00,1384.0,8.00,303.9
Ja'Marr Chase,CIN,4.0,9.0,,149.00,100.00,1352.0,11.00,302.1
Stefon Diggs,BUF,,,,151.00,106.00,1312.0,9.40,293.6
Tyreek Hill,MIA,4.0,19.0,0.3,146.00,101.00,1408.0,7.40,289.9
Amon-Ra St. Brown,DET,9.0,34.0,0.3,152.00,117.00,1229.0,5.40,277.5
Davante Adams,LV,,,,155.00,96.00,1248.0,8.40,271.2
CeeDee Lamb,DAL,9.0,53.0,,136.00,94.00,1228.0,7.70,268.3
A.J. Brown,PHI,,,,129.00,81.00,1259.0,9.30,262.7
Garrett Wilson,NYJ,4.0,16.0,,139.00,90.00,1176.0,7.40,253.6
Keenan Allen,LAC,1.0,4.0,,139.00,100.00,1076.0,6.30,245.8
Jaylen Waddle,MIA,2.0,9.0,0.1,120.00,83.00,1198.0,6.80,245.1
Tee Higgins,CIN,,,,123.00,83.00,1123.0,7.00,237.3
Chris Olave,NO,,,,128.00,82.00,1151.0,5.90,232.5
Calvin Ridley,JAC,2.0,8.0,,124.00,81.00,1048.0,7.20,229.8
Jerry Jeudy,DEN,3.0,14.0,,111.00,76.00,1108.0,6.20,225.4
Deebo Samuel,SF,46.0,255.0,2.8,109.00,71.00,847.0,4.10,222.6
DeVonta Smith,PHI,,,,116.00,79.00,1022.0,6.90,222.6
Diontae Johnson,PIT,4.0,18.0,0.1,146.00,90.00,950.0,5.60,221.0
DK Metcalf,SEA,,,,121.00,76.00,992.0,7.60,220.8
Amari Cooper,CLE,,,,110.00,72.00,1030.0,7.20,218.2
Tyler Lockett,SEA,,,,103.00,76.00,952.0,7.00,213.2
Chris Godwin,TB,2.0,6.0,0.1,125.00,88.00,965.0,4.10,210.3
Mike Williams,LAC,,,,111.00,72.00,1048.0,5.40,209.2
Christian Watson,GB,9.0,43.0,0.5,111.00,67.00,966.0,6.20,208.1
Terry McLaurin,WAS,5.0,18.0,0.1,116.00,72.00,1039.0,4.70,206.5
DeAndre Hopkins,TEN,,,,110.00,77.00,936.0,5.50,203.6
Drake London,ATL,,,,118.00,75.00,943.0,5.60,202.9
Jordan Addison,MIN,,,,109.00,76.00,913.0,5.30,199.1
Marquise Brown,ARI,,,,124.00,80.00,916.0,4.20,196.8
Gabe Davis,BUF,,,,104.00,58.00,924.0,7.70,196.6
Mike Evans,TB,,,,109.00,65.00,948.0,5.70,194.0
Brandon Aiyuk,SF,2.0,9.0,0.1,99.00,67.00,883.0,6.20,194.0
Brandin Cooks,DAL,,,,103.00,69.00,895.0,5.50,191.5
Treylon Burks,TEN,5.0,19.0,0.2,103.00,65.00,877.0,5.90,191.2
Christian Kirk,JAC,2.0,8.0,,100.00,69.00,864.0,5.70,190.4
Jahan Dotson,WAS,5.0,18.0,0.1,109.00,65.00,947.0,4.70,190.3
DJ Moore,CHI,5.0,25.0,,102.00,63.00,856.0,5.50,184.1
Quentin Johnston,LAC,,,,96.00,62.00,861.0,5.40,180.5
Jaxon Smith-Njigba,SEA,,,,92.00,66.00,828.0,4.70,177.0
George Pickens,PIT,4.0,18.0,0.1,96.00,60.00,864.0,4.60,176.4
Nico Collins,HOU,,,,108.00,64.00,860.0,4.00,174.0
Allen Lazard,NYJ,2.0,8.0,,93.00,60.00,782.0,5.70,173.2
Michael Pittman,IND,2.0,9.0,,110.00,68.00,787.0,3.70,169.8
Rashod Bateman,BAL,,,,94.00,60.00,763.0,5.30,168.1
Jakobi Meyers,LV,,,,106.00,67.00,769.0,3.60,165.5
Tyler Boyd,CIN,,,,86.00,63.00,727.0,4.80,164.5
Adam Thielen,CAR,,,,90.00,60.00,635.0,6.00,159.5
Van Jefferson,LA,,,,86.00,48.00,722.0,5.10,150.8
Jonathan Mingo,CAR,,,,90.00,49.00,715.0,4.80,149.3
Curtis Samuel,WAS,23.0,90.0,0.7,84.00,58.00,553.0,3.80,149.3
Zay Jones,JAC,2.0,8.0,,89.00,61.00,645.0,3.60,147.9
Elijah Moore,CLE,5.0,9.0,,84.00,54.00,666.0,4.40,147.9
Rondale Moore,ARI,4.0,12.0,,94.00,68.00,646.0,2.30,147.6
Zay Flowers,BAL,,,,84.00,55.00,637.0,4.60,146.3
Courtland Sutton,DEN,,,,87.00,52.00,695.0,3.70,143.7
Kadarius Toney,KC,7.0,35.0,1.0,72.00,56.00,586.0,3.20,143.3
Robert Woods,HOU,,,,94.00,58.00,611.0,4.00,143.1
Odell Beckham,BAL,,,,81.00,47.00,622.0,5.30,141.0
DeVante Parker,NE,,,,92.00,57.00,710.0,1.90,139.4
Michael Thomas,NO,,,,79.00,55.00,579.0,4.30,138.7
K.J. Osborn,MIN,4.0,15.0,0.1,74.00,51.00,584.0,4.50,138.5
Hunter Renfrow,LV,,,,82.00,58.00,585.0,3.60,138.1
Isaiah Hodgins,NYG,,,,75.00,56.00,592.0,3.70,137.4
Donovan Peoples-Jones,CLE,,,,77.00,48.00,666.0,3.50,135.6
Jameson Williams,DET,,,,76.00,44.00,653.0,4.10,133.9
Michael Gallup,DAL,,,,79.00,46.00,570.0,5.00,133.0
JuJu Smith-Schuster,NE,,,,76.00,51.00,515.0,4.70,130.7
Romeo Doubs,GB,,,,86.00,54.00,544.0,3.60,130.0
Marquez Valdes-Scantling,KC,,,,67.00,37.00,589.0,4.00,119.9
Skyy Moore,KC,2.0,10.0,,72.00,48.00,533.0,2.90,119.7
Russell Gage,TB,,,,80.00,52.00,464.0,3.10,117.0
Alec Pierce,IND,,,,76.00,40.00,581.0,3.10,116.7
Darnell Mooney,CHI,3.0,10.0,,68.00,44.00,532.0,2.80,115.0
DJ Chark,CAR,,,,65.00,38.00,545.0,3.40,112.9
Darius Slayton,NYG,,,,66.00,41.00,558.0,2.60,112.4
Rashid Shaheed,NO,4.0,21.0,0.2,57.00,38.00,534.0,2.60,110.3
Jayden Reed,GB,,,,67.00,43.00,469.0,2.80,106.7
Rashee Rice,KC,,,,58.00,39.00,433.0,2.50,97.3
Mack Hollins,ATL,,,,65.00,39.00,526.0,0.90,97.0
Wan'Dale Robinson,NYG,,,,61.00,44.00,419.0,1.80,96.7
Marvin Mims,DEN,,,,51.00,30.00,471.0,3.10,95.7
Mecole Hardman,NYJ,4.0,24.0,0.1,49.00,35.00,406.0,2.80,95.4
John Metchie,HOU,,,,62.00,38.00,402.0,2.40,92.6
Kyle Philips,TEN,,,,60.00,39.00,390.0,2.30,91.8
Chase Claypool,CHI,3.0,10.0,,55.00,32.00,386.0,2.80,88.4
Marvin Jones,DET,,,,52.00,33.00,373.0,2.60,85.9
Joshua Palmer,LAC,,,,48.00,35.00,363.0,1.80,82.1
Michael Wilson,ARI,,,,54.00,32.00,354.0,1.90,78.8
Tyquan Thornton,NE,,,,50.00,26.00,341.0,2.70,76.3
Tim Patrick,DEN,,,,43.00,28.00,386.0,1.50,75.6
Ben Skowronek,LA,,,,51.00,32.00,318.0,1.80,74.6
Tank Dell,HOU,8.0,32.0,,47.00,30.00,328.0,1.30,73.8
Josh Downs,IND,,,,49.00,31.00,309.0,1.90,73.3
Jauan Jennings,SF,,,,46.00,30.00,350.0,1.30,72.8
Corey Davis,NYJ,,,,39.00,25.00,346.0,2.00,71.6
Khalil Shakir,BUF,,,,45.00,26.00,308.0,2.10,69.4
Josh Reynolds,DET,,,,40.00,26.00,329.0,1.70,69.1
Olamide Zaccheaus,PHI,,,,38.00,25.00,319.0,1.90,68.3
Allen Robinson,PIT,,,,43.00,28.00,275.0,1.60,65.1
Kendrick Bourne,NE,4.0,16.0,0.1,34.00,24.00,293.0,1.50,64.5
Jalin Hyatt,NYG,,,,38.00,20.00,297.0,2.30,63.5
Calvin Austin,PIT,2.0,9.0,0.1,37.00,24.00,240.0,1.00,55.5
Richie James,KC,,,,25.00,20.00,217.0,1.40,50.1
Cedrick Wilson,MIA,,,,30.00,21.00,227.0,0.80,48.5
Cedric Tillman,CLE,,,,31.00,18.00,220.0,1.30,47.8
A.T. Perry,NO,,,,28.00,17.00,218.0,1.00,44.8
Robbie Chosen,MIA,,,,26.00,16.00,221.0,1.10,44.7
Tutu Atwell,LA,,,,27.00,15.00,196.0,0.90,40.0
Tre Tucker,LV,,,,23.00,15.00,149.0,1.30,37.7
Braxton Berrios,MIA,,,,28.00,19.00,154.0,0.50,37.4
Terrace Marshall,CAR,,,,27.00,16.00,173.0,0.50,36.3
Isaiah McKenzie,IND,2.0,12.0,,24.00,15.00,134.0,0.80,34.4
Parris Campbell,NYG,,,,21.00,14.00,145.0,0.90,33.9
Puka Nacua,LA,,,,21.00,12.00,164.0,0.90,33.8
Jalen Tolbert,DAL,,,,20.00,11.00,159.0,1.10,33.5
Tyler Scott,CHI,3.0,10.0,0.1,19.00,12.00,141.0,0.90,33.1
Nick Westbrook-Ikhine,TEN,,,,19.00,11.00,149.0,1.10,32.5
Greg Dortch,ARI,,,,20.00,15.00,117.0,0.90,32.1
Demarcus Robinson,LA,,,,20.00,13.00,129.0,0.90,31.3
Quez Watkins,PHI,,,,17.00,11.00,134.0,0.80,29.2
Deonte Harty,BUF,,,,20.00,12.00,111.0,1.00,29.1
Trenton Irwin,CIN,,,,16.00,10.00,131.0,0.80,27.9
Dontayvion Wicks,GB,,,,16.00,10.00,121.0,0.60,25.7
Randall Cobb,NYJ,,,,15.00,10.00,117.0,0.60,25.3
Sterling Shepard,NYG,,,,18.00,12.00,81.0,0.70,24.3
Chris Moore,TEN,,,,14.00,9.00,98.0,0.90,24.2
Trent Sherfield,BUF,,,,14.00,9.00,108.0,0.70,24.0
Velus Jones,CHI,,,,11.00,6.00,94.0,1.40,23.8
Justin Watson,KC,,,,12.00,7.00,102.0,1.10,23.8
Kalif Raymond,DET,,,,13.00,9.00,84.0,0.50,20.4
Ashton Dulin,IND,,,,13.00,8.00,101.0,0.30,19.9
Dee Eskridge,SEA,,,,16.00,9.00,68.0,0.50,18.8
Denzel Mims,DET,,,,12.00,7.00,83.0,0.50,18.3
Dyami Brown,WAS,,,,12.00,6.00,88.0,0.40,17.2
Erik Ezukanma,MIA,,,,9.00,6.00,68.0,0.30,14.6
David Bell,CLE,,,,7.00,5.00,43.0,0.30,11.1
Scott Miller,ATL,,,,4.00,2.00,29.0,0.90,10.3
Kayshon Boutte,NE,,,,5.00,3.00,32.0,0.60,9.8
Samori Toure,GB,,,,6.00,3.00,48.0,0.20,9.0
Charlie Jones,CIN,,,,5.00,4.00,35.0,,7.5
Justin Shorter,BUF,,,,3.00,2.00,23.0,0.20,5.5
Grant DuBose,GB,,,,3.00,2.00,20.0,0.20,5.2
Andrei Iosivas,CIN,,,,2.00,1.00,16.0,,2.6
