"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","SF","rb","9","34","631.7","56","0","0","0","0","0","0","425.9786","1958.6946","14.6224","206.1798","167.2182","1322.5966","8.2874","2.9322","1.466","0.1714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Justin Jefferson","MIN","wr","13","34","636","52","0","0","0","0","0","0","0","0","0","328.3632","224.3484","3147.7364","16.0604","1.3384","0.6692","0.578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Austin Ekeler","LAC","rb","5","34","590.6","50","0","0","0","0","0","0","410.8992","1804.2912","14.7402","195.3216","162.905","1165.6234","7.3828","7.7792","3.8896","0.9066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Ja'Marr Chase","CIN","wr","7","34","614.9","49","0","0","0","0","0","0","0","0","0","295.0794","207.0734","2863.3964","20.4476","3.1816","1.5908","0.1764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Bijan Robinson","ATL","rb","11","34","557.7","45","0","0","0","0","0","0","583.1666","2703.4566","20.463","103.7492","82.6486","633.4362","3.3396","4.4968","2.2484","0.4124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Cooper Kupp","LA","wr","10","34","587.3","45","0","0","0","0","0","0","32.9144","162.0462","1.7546","286.4974","211.5816","2574.0978","15.2542","2.745","1.3724","0.6904","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Tony Pollard","DAL","rb","7","34","544.8","43","0","0","0","0","0","0","538.4458","2564.7708","16.3434","117.6628","94.7444","727.0828","3.9424","2.4636","1.2318","0.197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Travis Kelce","KC","te","10","34","533.8","43","0","0","0","0","0","0","0","0","0","252.8048","190.9874","2289.9156","19.0162","2.2934","1.1466","0.4544","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Saquon Barkley","NYG","rb","13","34","533.9","42","0","0","0","0","0","0","514.7276","2229.731","15.7668","150.728","122.132","749.3874","3.3902","3.6214","1.8108","0.3862","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Tyreek Hill","MIA","wr","10","34","550.9","40","0","0","0","0","0","0","24.2724","109.7872","1.6292","288.391","197.9096","2470.427","14.198","2.4502","1.225","0.5916","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Jonathan Taylor","IND","rb","11","34","518.8","40","0","0","0","0","0","0","536.6658","2551.6258","18.6594","103.179","85.0034","542.4136","2.6476","7.1926","3.5964","0.065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Breece Hall","NYJ","rb","7","34","518.5","40","0","0","0","0","0","0","475.1924","2260.7178","14.852","118.6818","92.1634","855.1496","4.3976","3.3344","1.6672","0.437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Derrick Henry","TEN","rb","7","34","512.1","39","0","0","0","0","0","0","618.4062","2676.8074","20.7166","76.3644","61.9222","480.3072","1.9772","6.2976","3.1488","0.7316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Josh Jacobs","LV","rb","13","34","508.4","38","0","0","0","0","0","0","498.6922","2286.0364","17.2828","114.3636","92.8806","668.9728","2.9944","3.4798","1.7398","0.0468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Nick Chubb","CLV","rb","5","34","505.7","38","0","0","0","0","0","0","553.8322","2692.3474","18.7218","80.9854","65.423","454.6958","2.2632","3.5942","1.797","0.7058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Rhamondre Stevenson","NE","rb","11","34","500.1","37","0","0","0","0","0","0","457.6718","2142.3152","13.693","135.4394","110.2096","741.4848","3.5346","4.5462","2.273","0.2036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Joe Mixon","CIN","rb","7","34","496","36","0","0","0","0","0","0","491.0418","2017.6062","15.4954","119.3796","100.5616","726.8822","4.7884","1.6784","0.8392","0.0396","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
